referrer,views_total,views_unique
github.com,1229,208
dev.to,187,20
Google,156,41
t.co,77,1
Bing,9,5
startupschool.org,9,1
m.facebook.com,4,3
nvd.nist.gov,3,2
reactjsexample.com,3,2
web.skype.com,1,1
