time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-23 00:00:00+00:00,3,3,19,10
2023-05-24 00:00:00+00:00,8,6,82,22
2023-05-25 00:00:00+00:00,7,5,256,35
2023-05-26 00:00:00+00:00,5,4,199,25
2023-05-27 00:00:00+00:00,11,7,67,20
2023-05-28 00:00:00+00:00,4,4,63,17
2023-05-29 00:00:00+00:00,7,7,173,28
2023-05-30 00:00:00+00:00,2,2,220,39
2023-05-31 00:00:00+00:00,13,7,256,42
2023-06-01 00:00:00+00:00,8,8,119,33
2023-06-02 00:00:00+00:00,7,6,189,29
2023-06-03 00:00:00+00:00,12,8,458,35
2023-06-04 00:00:00+00:00,4,4,101,21
2023-06-05 00:00:00+00:00,13,8,153,33
2023-06-06 00:00:00+00:00,4,4,66,20
