url_path,views_total,views_unique
/idurar/idurar-erp-crm,732,363
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend,93,36
/idurar/idurar-erp-crm/tree/master/controllers,70,26
/idurar/idurar-erp-crm/tree/master/frontends/erpFrontend/src,65,23
/idurar/idurar-erp-crm/tree/master/controllers/erpControllers,44,14
/idurar/idurar-erp-crm/tree/master/setup,42,11
/idurar/idurar-erp-crm/tree/master/models,39,17
/idurar/idurar-erp-crm/blob/master/app.js,37,17
/idurar/idurar-erp-crm/tree/master/controllers/corsControllers,35,15
/idurar/idurar-erp-crm/tree/master/views/pdf,35,14
