referrer,views_total,views_unique
github.com,1043,187
dev.to,130,21
Google,73,23
web.skype.com,26,1
l.facebook.com,3,2
docs.metasfresh.org,2,1
wx.zsxq.com,1,1
unsafe.sh,1,1
com.google.android.gm,1,1
in.search.yahoo.com,1,1
